"","perl_best_thing","perl_frustrates_most","describe_perl"
"2299","I think that Perl is a very good programming language, and it has mass adoption, but it is not the main skill when getting a job. It is viewed as a side-skill.[CR]It allows for straight-forward prototyping and quickly solving problems.[CR][CR]","I can't find a job as a Perl programmer.[CR]The levels of abstraction it provides are not near Haskell for example.[CR]I hate the levels of wizardry that are necessary to know Perl properly, and the[CR]fact that they are hidden beneath piles of documentation and they're not more[CR]visible to the naked eye.","old practical TIMTOWDI compact wizardry"
"2300","","",""
"2301","Flexibility","Nothing","Reliable, very reliable"
"2302","","",""
"2303","Reasonably fast performance for basic scripting tasks.","Very difficult to build modern, large-scale, maintainable systems - because of: ambiguous syntax/semantics, lack of tried-and-tested modern concepts such as proper exception handling, iterator support, class/object system, strongly typed generic collections, in-code documentation support.","outdated flexible ugly hacky expiring"
"2304","","",""
"2305","Fun, easy to learn, useful.","Nothing cool gets written in Perl anymore.",""
"2306","","",""
"2307","My brain is a hash, so perl is a perfect fit!","syntax of dereferencing arrays of hashes of arrays of ... gets me tangled.",""
"2308","","",""
"2309","","",""
"2310","","",""
"2311","Easy to use once you have it under your belt.","Too many ways to do things.  Too many CPAN modules -- confusing which one to use so people write their own code.  Hard to maintain Perl legacy code.",""
"2312","","",""
"2313","","",""
"2314","I don't have to use it","Everything","terrible"
"2315","CPAN","","simple, structured, Opensource"
"2316","the community","having to maintain old perl code from non perl programmers","perl teaches the smart way to do things."
"2317","regex matching","too many ways to do things","fast deveopment, runs slower."
"2318","It's free","Inconsistency","Clunky"
"2319","simplicity","no native multi-line comments, usual lack of organization of perl code projects.","simple, unorganized, messy"
"2320","oo and functional, cpan, portable, fast, easy to debug","command line perl in program sources, absence of a real god ide","expressive and explosive, creative"
"2321","easy to read, easy to use","the persention is not as good as c etc. ","data manipulation made easy "
"2322","Multiple ways of doing things, without the language trying to force you in to the ""right"" way","Perl 6 is still not ready","Regular expressions, Quick solution, Flexible"
"2323","CPAN, volume of contributed code","That clients often view it as obsolete technology, difficult to find programmers for, or that the code is hard to maintain","powerful ubiquitous flexible fast"
"2324","Open source","waiting for perl 6","a short phrase describing perl"
"2325","it's free and there is an app, err a CPAN module for everything.","its sometimes intransparent syntax.",""
"2326","","",""
"2327","","",""
"2328","brevity","hate","less code is less bugs."
"2329","closures","- sigils and complex sequences of dereferencing [CR]- use . instead of ->[CR]","saturn-v rocket with spinning chainsaws"
"2330","its flexibility.  The power of C/C++ with the syntax/beauty of a dynamic language.","complicated handling of nested data structures.","elegant, fast, expressive, tim toady"
"2331","...that I already know it and it is good for everything from web applications to automation of manufacturing equipment :-) I have a couple of machines at work communicating to PLC and barcode scanners.","There are just a few Perl programmers in my area, so I am completely missing out the social part of Perl, which seems to be very good.[CR]There is no such a thing as an ""international web conference"" for people like me.","Computer swiss knife"
"2332","the testing, CPAN and the people.","that too many Perl programmer thinks that they are always right. :-)","well done ;-)"
"2333","UNIX command line power","object oriented kludge; lost track at perl 5","terse unixy noisey powerful"
"2334","","",""
"2335","","",""
"2336","Available on OS X","Syntax","bloody confusing"
"2337","it's ability to make seemingly impossible tasks possible.","that widely-varying base configurations bundled with OSes steers development groups into a default position of ""lowest common denominator"" Perl practices.","My language of choice."
"2338","","",""
"2339","","",""
"2340","","",""
"2341","","",""
"2342","","",""
"2343","Syntax, ease of use procedurally, Easy to pick up,CPAN is AWESOME","Very little ","Perl is easy to use and CPAN is great."
"2344","","",""
"2345","It's proven,reliable technology, and it nicely packages up the unix experience.","Using perl to it's fullest and understanding perl code really requires a good understanding of classic unix scripting/philosophy, this makes it hard to explain some of the features/decisions perl makes to people lacking that background.","portable unified unix api"
"2346","","",""
"2347","CPAN.  Perl modules are so much easier to find, study, and install with it.  Ruby and Python are making steps in that direction, but CPAN remains unmatched.","All the haters.  In part the fact that it's so available leads to its bad reputation.  I've worked with sysadmins who are not good programmers, and they've written stuff in perl that makes me cringe.","A good way to get something done"
"2348","Flexibility","Lack of adoption in the enterprise",""
"2349","It supports multiple programming paradigms (functional, procedural, object-oriented).","Lack of strong-typing (Perl 6)..and that most everyone hates it.","swiss army chainsaw, multi-paradigmic, expressive"
"2350","","",""
"2351","","","sysadmin tool"
"2352","","",""
"2353","Moose, Catalyst, DBIx::Class, TT","none","it's my life :)"
"2354","","",""
"2355","the ease to complete tasks quickly and the many available cpan modules to help out","that you can write code that is very unreadable","flexible, quick"
"2356","","",""
"2357","CPAN","OO Model","TIMTOWTDI"
"2358","more than one way to do it","more than one way to do it","quick, non-simple, flexible"
"2359","It's openness[CR]It's expresivness[CR]CPAN[CR]The community[CR]DBI[CR]Regexes embedded in the language (or ""Language built around a RegEx engine"")","Obfuscated programmers[CR]No multiline comments[CR]POD[CR]No quality SOAP modules","The Accelerator"
"2360","","",""
"2361","Support for Dynamic Programming, Ubiquity on the server, CPAN interfaces for almost everything.","Too many syntactic subtleties.","Quick Glue for Applications"
